participant_id,user_type,lang,age,gender,education,computer_skills,ifttt_familiarity,quality_flag
user_0001,non_expert,it,18,F,Scuola superiore,,,
user_0002,non_expert,it,18,F,Scuola superiore,,,
user_0003,non_expert,it,18,M,Scuola superiore,,,
user_0004,non_expert,it,18,M,Scuola superiore,,,
user_0005,non_expert,it,18,M,Scuola superiore,,,
user_0006,non_expert,it,18,M,Scuola superiore,,,
user_0007,non_expert,it,18,F,Scuola superiore,,,
user_0008,non_expert,it,18,M,Scuola superiore,,,
user_0009,non_expert,it,18,M,Scuola superiore,,,outlier_contradictory
user_0010,non_expert,it,18,M,Scuola superiore,,,
user_0011,non_expert,it,18,M,Scuola superiore,,,
user_0013,non_expert,it,18,M,Scuola superiore,,,
user_0015,non_expert,it,18,F,Scuola superiore,,,low_quality_repeat
user_0016,non_expert,it,18,M,Scuola superiore,,,
user_0017,non_expert,it,18,M,Scuola superiore,,,
user_0018,non_expert,it,18,M,Scuola superiore,,,
user_0019,non_expert,it,18,F,Scuola superiore,,,
user_0020,non_expert,it,18,M,Scuola superiore,,,
user_0021,non_expert,it,18,Maschio,Scuola superiore,3,1,
user_0022,non_expert,it,18,Maschio,Scuola superiore,2,1,
user_0023,non_expert,it,18,Maschio,Scuola superiore,2,1,
user_0024,non_expert,it,18,Maschio,Scuola superiore,2,1,
user_0026,non_expert,it,18,Maschio,Scuola superiore,3,1,outlier_speed
user_0027,non_expert,it,18,Maschio,Scuola superiore,2,1,
user_0028,non_expert,it,18,Maschio,Scuola superiore,2,1,
user_0029,non_expert,it,18,Maschio,Scuola superiore,2,1,
user_0031,non_expert,it,18,Maschio,Scuola superiore,3,1,
user_0032,non_expert,it,18,Maschio,Scuola superiore,3,1,
user_0033,non_expert,it,18,Maschio,Scuola superiore,2,1,
user_0034,non_expert,it,18,Maschio,Scuola superiore,3,1,
user_0037,non_expert,it,18,Maschio,Scuola superiore,1,1,
user_0039,non_expert,it,18,Maschio,Scuola superiore,1,1,
user_0042,non_expert,it,18,Maschio,Scuola superiore,1,1,
user_0043,non_expert,it,18,Maschio,Scuola superiore,1,1,
user_0045,non_expert,it,18,Maschio,Scuola superiore,1,1,
user_0046,non_expert,it,18,Maschio,Scuola superiore,1,1,
user_0047,non_expert,it,18,Maschio,Scuola superiore,1,1,
user_0048,non_expert,it,18,Femmina,Scuola superiore,1,1,
user_0049,non_expert,it,18,Maschio,Scuola superiore,1,1,
user_0050,non_expert,it,18,Maschio,Scuola superiore,1,1,
user_0051,non_expert,it,18,Maschio,Scuola superiore,1,1,
user_0055,non_expert,it,18,Maschio,Scuola superiore,1,1,outlier_tlx_max
user_0061,non_expert,it,18,Maschio,Scuola superiore,1,1,low_quality_all_same
user_0065,non_expert,it,35,Preferisco non dire,Laurea triennale,5,1,outlier_contradictory
user_0067,non_expert,it,18,Maschio,Scuola superiore,1,1,outlier_tlx_sus_extreme
user_0101,expert,it,23,Maschio,Laurea triennale,5,1,
user_0102,expert,it,24,Maschio,Laurea triennale,4,1,
user_0103,expert,it,24,Maschio,Laurea triennale,4,1,
user_0104,expert,it,27,Maschio,Laurea triennale,5,1,
user_0105,expert,it,23,Maschio,Laurea triennale,4,1,
user_0106,expert,it,23,Femmina,Laurea triennale,5,1,
user_0107,expert,it,23,Maschio,Laurea triennale,5,1,
user_0108,expert,it,38,Maschio,Laurea triennale,5,1,
user_0109,expert,it,26,Maschio,Laurea magistrale,5,1,
user_0110,expert,it,36,Maschio,Scuola superiore,4,2,
user_0113,expert,it,30,Maschio,Laurea triennale,4,2,
user_0114,expert,it,27,Maschio,Laurea triennale,4,4,
user_0115,expert,it,22,Maschio,Laurea magistrale,5,1,
user_0116,expert,it,22,Maschio,Laurea triennale,5,1,
user_0118,expert,it,24,Maschio,Laurea triennale,4,1,
user_0119,expert,it,22,Femmina,Laurea triennale,3,1,
user_0120,expert,it,22,Maschio,Laurea triennale,4,1,
user_0121,expert,it,22,Femmina,Laurea triennale,4,1,
user_0123,expert,it,21,Maschio,Laurea triennale,3,1,
user_0124,expert,it,22,Femmina,Laurea triennale,3,1,
user_0125,expert,it,24,Maschio,Laurea magistrale,3,1,
user_0126,expert,it,26,Femmina,Laurea magistrale,5,5,
user_0127,expert,it,25,Maschio,Laurea magistrale,5,4,
user_0128,expert,it,25,Maschio,Laurea magistrale,5,4,
user_0129,expert,it,25,Maschio,Laurea magistrale,5,5,no_engagement_all_same
user_0130,expert,it,29,Maschio,Dottorato/Post-doc,5,3,
user_0131,expert,it,36,Maschio,Laurea magistrale,4,1,
user_0132,expert,it,22,Maschio,Laurea magistrale,3,2,
user_0133,expert,it,36,Maschio,Laurea triennale,5,3,no_engagement_all_same
user_0134,expert,it,35,Femmina,Dottorato/Post-doc,5,5,
user_0150,expert,it,25,Maschio,Laurea triennale,4,1,no_engagement_all_same
user_0152,expert,it,23,Maschio,Laurea triennale,5,5,
user_0153,expert,it,24,Maschio,Laurea triennale,4,4,
user_0158,expert,it,25,Maschio,Laurea triennale,4,1,
user_0170,expert,it,29,Maschio,Dottorato/Post-doc,5,2,
user_0171,expert,it,25,Maschio,Laurea magistrale,5,1,
user_0201,expert,it,22,Femmina,Laurea triennale,5,1,
user_0203,expert,it,25,Maschio,Laurea triennale,4,1,
user_0204,expert,it,23,Maschio,Laurea magistrale,3,1,
user_0205,expert,it,34,Femmina,Dottorato/Post-doc,5,5,
