participant_id,scenario_code,complexity_class,scenario_index,started_at,completed_at,total_turns,total_elapsed_s,attempt_number,l1_syntax_ok,l1_api_valid,exec_pass_rate,eval_behavioral_match,eval_confidence,eval_code_correct,sandbox_all_pass,evaluator_1,evaluator_2,oracle_consensus,success
user_0001,S1,C1,0,2026-03-21T10:12:13.279807+00:00,2026-03-21T10:12:13.298546+00:00,10,407.31,2,1,1,,partially,3,,,correct,correct,matches_completely,correct
user_0001,M1,C2,1,2026-03-21T10:19:09.791128+00:00,2026-03-21T10:19:09.810582+00:00,8,73.25,2,1,1,,partially,4,,,correct,correct,matches_completely,correct
user_0001,C1,C3,2,2026-03-21T10:27:13.498879+00:00,2026-03-21T10:27:13.520056+00:00,8,177.94,2,1,1,,matches_completely,3,,,correct,correct,matches_completely,correct
user_0001,S2,C1,3,2026-03-21T10:36:38.264817+00:00,2026-03-21T10:36:38.282641+00:00,4,75.88,1,1,1,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0001,M2,C2,4,2026-03-21T10:39:36.228744+00:00,2026-03-21T10:39:36.246336+00:00,4,108.95,1,1,1,,partially,3,,,correct,correct,partially,correct
user_0001,C2,C3,5,2026-03-21T10:41:08.515339+00:00,2026-03-21T10:41:08.536375+00:00,4,60.61,1,1,1,,matches_completely,3,,,correct,correct,matches_completely,correct
user_0002,S1,C1,0,2026-03-21T10:10:36.470477+00:00,2026-03-21T10:10:36.490526+00:00,7,403.81,2,1,1,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0002,M1,C2,1,2026-03-21T10:19:13.710421+00:00,2026-03-21T10:19:13.731503+00:00,10,227.27,3,1,1,,partially,4,,,correct,correct,matches_completely,correct
user_0002,C1,C3,2,2026-03-21T10:23:45.323203+00:00,2026-03-21T10:23:45.345426+00:00,7,160.45,2,1,1,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0002,S2,C1,3,2026-03-21T10:31:30.940065+00:00,2026-03-21T10:31:30.958198+00:00,4,67.16,1,1,1,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0002,M2,C2,4,2026-03-21T10:35:09.901181+00:00,2026-03-21T10:35:09.918120+00:00,4,171.53,1,1,1,,partially,4,,,correct,correct,partially,correct
user_0002,C2,C3,5,2026-03-21T10:36:39.998118+00:00,2026-03-21T10:36:40.017811+00:00,4,74.95,1,1,1,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0003,S1,C1,0,2026-03-21T10:10:28.270264+00:00,2026-03-21T10:10:28.325722+00:00,10,335.62,3,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0003,M1,C2,1,2026-03-21T10:18:40.697089+00:00,2026-03-21T10:18:40.714890+00:00,10,295.11,3,1,0,,partially,5,,,correct,correct,matches_completely,correct
user_0003,C1,C3,2,2026-03-21T10:23:09.263517+00:00,2026-03-21T10:23:09.288241+00:00,7,149.92,2,1,1,,matches_completely,5,,,correct,correct,partially,correct
user_0003,S2,C1,3,2026-03-21T10:33:55.758149+00:00,2026-03-21T10:33:55.781619+00:00,11,279.7,3,1,1,,partially,4,,,correct,correct,matches_completely,correct
user_0003,M2,C2,4,2026-03-21T10:38:03.544183+00:00,2026-03-21T10:38:03.566676+00:00,7,146.53,2,1,1,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0003,C2,C3,5,2026-03-21T10:39:35.748790+00:00,2026-03-21T10:39:35.768862+00:00,4,67.64,1,1,1,,partially,4,,,correct,correct,matches_completely,correct
user_0004,S1,C1,0,2026-03-21T10:03:13.583434+00:00,2026-03-21T10:03:13.607392+00:00,8,149.53,1,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0004,M1,C2,1,2026-03-21T10:09:32.141532+00:00,2026-03-21T10:09:32.163552+00:00,8,135.36,2,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0004,C1,C3,2,2026-03-21T10:13:45.721178+00:00,2026-03-21T10:13:45.740525+00:00,4,133.31,1,1,0,,partially,2,,,correct,correct,does_not_match,correct
user_0004,S2,C1,3,2026-03-21T10:21:13.721442+00:00,2026-03-21T10:21:13.743581+00:00,4,85.55,1,1,1,,partially,4,,,correct,correct,matches_completely,correct
user_0004,M2,C2,4,2026-03-21T10:25:07.821372+00:00,2026-03-21T10:25:07.840223+00:00,4,82.38,1,1,1,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0004,C2,C3,5,2026-03-21T10:29:38.848219+00:00,2026-03-21T10:29:38.896070+00:00,9,213.3,1,1,1,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0005,S1,C1,0,2026-03-21T10:04:22.243144+00:00,2026-03-21T10:04:22.264778+00:00,4,78.64,1,1,1,,partially,5,,,correct,correct,does_not_match,correct
user_0005,M1,C2,1,2026-03-21T10:10:42.859455+00:00,2026-03-21T10:10:42.883929+00:00,7,168.94,2,1,1,,matches_completely,3,,,correct,correct,does_not_match,correct
user_0005,C1,C3,2,2026-03-21T10:13:53.562769+00:00,2026-03-21T10:13:53.617754+00:00,8,121.86,1,1,1,,partially,5,,,correct,correct,does_not_match,correct
user_0005,S2,C1,3,2026-03-21T10:20:11.934164+00:00,2026-03-21T10:20:11.953794+00:00,7,128.77,2,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0005,M2,C2,4,2026-03-21T10:24:09.792428+00:00,2026-03-21T10:24:09.819762+00:00,11,226.16,3,1,1,,partially,4,,,correct,correct,does_not_match,correct
user_0005,C2,C3,5,2026-03-21T10:29:28.841378+00:00,2026-03-21T10:29:28.866834+00:00,16,335.95,3,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0006,S1,C1,0,2026-03-21T10:03:41.806435+00:00,2026-03-21T10:03:41.829065+00:00,11,51.33,3,1,1,,partially,3,,,correct,correct,does_not_match,correct
user_0006,M1,C2,1,2026-03-21T10:07:50.435148+00:00,2026-03-21T10:07:50.453133+00:00,11,80.67,3,1,0,,matches_completely,3,,,correct,correct,partially,correct
user_0006,C1,C3,2,2026-03-21T10:13:29.044327+00:00,2026-03-21T10:13:29.065709+00:00,10,191.58,2,1,1,,matches_completely,3,,,correct,correct,partially,correct
user_0006,S2,C1,3,2026-03-21T10:19:44.172342+00:00,2026-03-21T10:19:44.309663+00:00,7,141.53,2,1,1,,matches_completely,3,,,correct,correct,matches_completely,correct
user_0006,M2,C2,4,2026-03-21T10:22:21.522721+00:00,2026-03-21T10:22:21.544537+00:00,7,98.61,2,1,1,,matches_completely,3,,,correct,correct,partially,correct
user_0006,C2,C3,5,2026-03-21T10:31:39.907865+00:00,2026-03-21T10:31:39.975897+00:00,32,561.3,1,1,1,,matches_completely,3,,,correct,correct,matches_completely,correct
user_0007,S1,C1,0,2026-03-21T10:05:53.192099+00:00,2026-03-21T10:05:53.210586+00:00,11,189.56,3,1,0,,matches_completely,2,,,correct,correct,does_not_match,correct
user_0007,M1,C2,1,2026-03-21T10:09:42.015773+00:00,2026-03-21T10:09:42.032983+00:00,12,104.89,3,1,1,,partially,3,,,correct,correct,matches_completely,correct
user_0007,C1,C3,2,2026-03-21T10:11:19.092637+00:00,2026-03-21T10:11:19.110694+00:00,4,94.47,1,1,1,,matches_completely,5,,,correct,correct,does_not_match,correct
