participant_id,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10
user_0001,-1.8316690517527041,2.0,7.331669051752704,2.5,3.0,3.0,2.5,3.5,3.0,2.5
user_0002,2.0,3.0,3.0,2.0,3.0,2.5,4.0,4.0,3.0,1.0
user_0003,4.0,3.0,3.0,1.0,3.0,1.0,4.0,1.5,4.0,1.0
user_0004,1.5,2.0,4.5,1.0,2.5,3.5,5.0,2.0,3.0,1.5
user_0005,1.0,1.5,4.0,1.0,2.5,1.5,4.0,1.0,3.5,1.0
user_0006,3.0,2.0,3.5,3.0,3.0,2.0,3.5,2.0,3.0,2.5
user_0007,3.0,3.0,2.5,3.5,2.5,3.5,1.5,3.0,3.0,3.0
user_0008,2.0,2.0,3.0,2.0,4.5,1.0,2.0,1.0,4.0,2.0
user_0009,4.5,2.0,4.0,3.0,4.0,2.0,3.5,2.0,4.0,2.0
user_0010,4.5,5.0,4.5,3.0,4.5,1.5,3.0,1.5,3.5,2.5
user_0011,4.0,2.0,4.5,3.0,4.0,2.5,3.5,4.0,4.0,2.0
user_0013,4.0,3.5,3.0,1.5,2.5,2.5,2.0,3.5,3.5,1.5
user_0015,3.0,1.5,3.5,3.5,4.5,1.5,3.5,1.0,4.5,1.0
user_0016,2.5,2.0,3.0,2.5,3.0,1.5,2.0,2.5,2.5,1.5
user_0017,3.5,3.5,3.5,2.5,3.5,2.0,3.5,2.5,4.0,2.0
user_0018,3.5,2.5,3.5,2.0,3.5,2.5,4.0,3.0,3.0,2.5
user_0019,2.5,2.5,4.0,2.5,4.0,2.5,4.5,2.5,4.5,1.5
user_0020,4.0,1.5,4.0,2.0,3.5,2.0,4.0,2.5,3.5,1.5
user_0021,4.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0,3.5,2.5
user_0022,3.0,3.0,2.5,1.0,2.0,2.0,2.0,3.5,2.5,1.0
user_0023,5.0,2.0,4.0,1.0,4.0,1.5,4.5,1.5,5.0,3.0
user_0024,5.0,1.0,4.0,2.0,4.5,1.0,4.0,1.0,4.0,2.0
user_0026,4.0,3.0,2.5,2.0,3.0,3.5,2.0,3.0,4.0,2.0
user_0027,4.0,1.5,5.0,1.5,3.0,1.0,3.0,1.5,4.0,2.0
user_0028,4.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,5.0,1.0
user_0029,2.5,1.5,4.5,2.5,4.0,2.0,2.0,2.5,3.0,1.0
user_0031,3.0,3.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0
user_0032,3.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,1.0,1.0
user_0033,2.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,5.0,3.0
user_0034,3.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0
user_0037,5.0,1.0,4.5,1.0,5.0,1.0,5.0,1.5,5.0,1.5
user_0039,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
user_0042,4.5,2.5,3.0,4.0,3.5,2.0,3.5,2.0,3.5,1.5
user_0043,4.5,3.5,4.5,1.0,4.5,1.5,4.5,2.0,4.0,2.0
user_0045,4.5,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,2.0
user_0046,3.5,3.0,3.0,3.5,3.5,2.0,2.5,3.5,3.5,2.5
user_0047,2.5,1.0,4.0,2.5,3.5,2.0,3.0,2.0,2.5,1.0
user_0048,3.0,2.5,3.0,2.0,3.5,2.5,2.5,2.0,2.5,2.5
user_0049,1.5,3.5,3.0,1.5,3.5,2.0,2.0,3.5,1.5,1.0
user_0050,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
user_0051,4.0,2.5,4.0,3.0,3.0,3.0,3.5,3.0,5.0,1.5
user_0055,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.5
user_0061,3.0,1.5,4.5,1.0,2.5,1.0,4.5,2.0,5.0,1.0
user_0065,4.0,1.5,4.0,1.0,3.0,1.5,4.5,2.0,4.5,1.0
user_0067,1.5,3.0,1.5,2.5,2.5,3.0,3.5,4.5,4.5,5.0
user_0101,4.0,2.0,4.0,2.0,4.0,3.0,4.0,2.0,3.0,1.0
user_0102,4.0,1.0,5.0,1.0,4.0,1.0,5.0,1.0,4.0,2.0
user_0103,3.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0
user_0104,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
user_0105,3.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0
user_0106,4.0,1.0,5.0,2.0,5.0,1.0,5.0,1.0,5.0,2.0
user_0107,4.0,2.0,5.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0
user_0108,2.0,2.0,4.0,1.0,3.0,3.0,4.0,2.0,4.0,1.0
user_0109,3.0,2.0,3.0,4.0,4.0,2.0,4.0,2.0,3.0,3.0
user_0110,4.0,2.0,4.0,1.0,4.0,1.0,4.0,2.0,4.0,2.0
user_0113,2.0,4.0,3.0,1.5,2.5,4.0,3.0,3.0,2.0,1.0
user_0114,4.0,1.0,4.5,1.0,3.0,4.0,4.0,2.0,4.0,1.0
user_0115,4.0,1.5,3.5,1.0,4.0,2.5,3.0,2.0,3.5,2.0
user_0116,1.0,4.5,3.5,4.5,1.0,4.0,3.0,3.5,1.5,1.0
user_0118,2.0,2.5,3.0,5.0,4.0,2.0,2.0,2.5,2.0,1.5
user_0119,4.0,3.0,2.5,3.0,3.0,3.0,2.0,4.0,3.0,3.0
user_0120,4.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,3.5,2.0
user_0121,3.0,2.0,4.0,2.0,4.0,1.0,4.0,2.0,4.0,2.0
user_0123,4.5,1.0,4.0,1.0,5.0,1.0,3.0,3.0,4.5,1.0
user_0124,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.5,1.0
user_0125,2.5,2.5,4.0,1.0,4.5,1.5,5.0,1.0,3.5,1.0
user_0126,4.5,1.5,4.5,1.5,5.0,1.0,3.0,1.5,4.5,1.0
user_0127,5.0,1.0,4.5,1.0,5.0,1.5,4.5,1.0,5.0,1.5
user_0128,4.5,1.5,4.0,1.5,4.0,1.0,4.0,1.0,4.0,1.0
user_0129,2.0,2.0,4.5,1.0,4.5,1.5,4.0,1.5,4.5,1.5
user_0130,3.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0
user_0131,2.0,3.0,2.0,2.5,3.0,3.0,3.5,2.5,3.0,2.5
