participant_id,mental_demand,physical_demand,temporal_demand,performance,effort,frustration
user_0001,60.0,0.0,57.5,57.5,52.5,45.0
user_0002,65.0,0.0,32.5,57.5,17.5,32.5
user_0003,40.0,0.0,2.5,87.5,40.0,5.0
user_0004,5.0,0.0,0.0,82.5,2.5,2.5
user_0005,10.0,0.0,0.0,30.0,2.5,5.0
user_0006,35.0,0.0,25.0,75.0,50.0,25.0
user_0007,85.0,0.0,95.0,32.5,82.5,60.0
user_0008,47.5,0.0,12.5,50.0,15.0,2.5
user_0009,42.5,0.0,50.0,72.5,45.0,37.5
user_0010,40.0,0.0,47.5,85.0,32.5,32.5
user_0011,17.5,0.0,15.0,72.5,17.5,17.5
user_0013,5.0,0.0,5.0,62.5,15.0,7.5
user_0015,12.5,0.0,25.0,75.0,12.5,0.0
user_0016,37.5,0.0,20.0,50.0,20.0,10.0
user_0017,45.0,0.0,50.0,60.0,50.0,37.5
user_0018,40.0,0.0,12.5,87.5,22.5,22.5
user_0019,45.0,0.0,32.5,72.5,60.0,40.0
user_0020,42.5,0.0,30.0,57.5,37.5,37.5
user_0021,32.5,0.0,25.0,67.5,35.0,30.0
user_0022,47.5,0.0,55.0,72.5,52.5,7.5
user_0023,40.0,0.0,20.0,92.5,27.5,22.5
user_0024,47.5,0.0,10.0,87.5,15.0,0.0
user_0026,45.0,0.0,35.0,50.0,42.5,42.5
user_0027,5.0,0.0,5.0,97.5,2.5,2.5
user_0028,1.0,0.0,2.0,10.0,1.0,0.0
user_0029,52.5,0.0,0.0,72.5,55.0,30.0
user_0031,10.0,0.0,7.0,8.0,5.0,2.0
user_0032,7.0,0.0,8.0,10.0,7.0,5.0
user_0033,7.0,0.0,0.0,7.0,6.0,2.0
user_0034,-48.023381371862506,0.0,0.0,8.0,1.0,49.023381371862506
user_0037,20.0,0.0,10.0,100.0,5.0,2.5
user_0039,27.5,0.0,25.0,75.0,25.0,25.0
user_0042,47.5,0.0,20.0,75.0,40.0,0.0
user_0043,37.5,0.0,10.0,92.5,17.5,12.5
user_0045,17.5,0.0,15.0,97.5,15.0,10.0
user_0046,57.5,0.0,30.0,55.0,25.0,25.0
user_0047,22.5,0.0,5.0,60.0,20.0,0.0
user_0048,30.0,0.0,35.0,72.5,30.0,22.5
user_0049,17.5,0.0,20.0,55.0,15.0,50.0
user_0050,50.0,0.0,100.0,52.5,47.5,45.0
user_0051,32.5,0.0,52.5,55.0,15.0,35.0
user_0055,100.0,0.0,100.0,100.0,100.0,100.0
user_0061,2.5,0.0,2.5,80.0,5.0,5.0
user_0065,5.0,0.0,2.5,7.5,5.0,32.5
user_0067,149.0233813718625,0.0,100.0,90.0,100.0,43.476618628137494
user_0101,5.0,0.0,5.0,6.0,4.0,4.0
user_0102,7.0,0.0,0.0,6.0,7.0,0.0
user_0103,27.0,0.0,14.0,53.0,24.0,14.0
user_0104,4.0,0.0,0.0,5.0,3.0,1.0
user_0105,27.0,0.0,14.0,53.0,24.0,14.0
user_0106,3.0,0.0,0.0,1.0,2.0,0.0
user_0107,8.0,0.0,5.0,8.0,1.0,1.0
user_0108,8.0,0.0,0.0,9.0,3.0,0.0
user_0109,6.0,0.0,1.0,5.0,5.0,3.0
user_0110,0.0,0.0,1.0,6.0,0.0,2.0
user_0113,67.5,0.0,70.0,32.5,60.0,67.5
user_0114,80.0,0.0,37.5,80.0,45.0,5.0
user_0115,22.5,0.0,7.5,72.5,15.0,0.0
user_0116,5.0,0.0,0.0,67.5,20.0,32.5
user_0118,40.0,0.0,20.0,55.0,65.0,20.0
user_0119,27.5,0.0,0.0,50.0,30.0,10.0
user_0120,45.0,0.0,22.5,57.5,25.0,20.0
user_0121,45.0,0.0,0.0,95.0,40.0,10.0
user_0123,20.0,0.0,2.5,87.5,7.5,7.5
user_0124,20.0,0.0,2.5,67.5,30.0,2.5
user_0125,27.5,0.0,0.0,70.0,22.5,0.0
user_0126,22.5,0.0,0.0,92.5,22.5,7.5
user_0127,0.0,0.0,0.0,92.5,2.5,7.5
user_0128,60.0,0.0,2.5,42.5,0.0,2.5
user_0129,0.0,0.0,0.0,100.0,0.0,0.0
user_0130,0.0,0.0,14.0,53.0,4.0,14.0
user_0131,52.5,0.0,15.0,45.0,42.5,42.5
user_0132,5.0,0.0,35.0,77.5,5.0,15.0
user_0133,0.0,0.0,22.5,87.5,0.0,15.0
user_0134,7.5,0.0,2.5,77.5,10.0,2.5
user_0150,2.5,0.0,15.0,87.5,2.5,10.0
user_0152,5.0,0.0,50.0,70.0,67.5,57.5
user_0153,0.0,0.0,22.5,40.0,12.5,7.5
user_0158,55.0,0.0,47.5,27.5,25.0,80.0
user_0170,40.0,0.0,40.0,67.5,42.5,27.5
user_0171,27.5,0.0,20.0,75.0,40.0,10.0
user_0201,0.0,0.0,2.5,0.5,4.5,0.0
user_0203,40.0,0.0,17.5,52.5,70.0,20.0
user_0204,30.0,0.0,2.5,65.0,17.5,0.0
user_0205,10.0,0.0,2.5,85.0,10.0,2.5
