participant_id,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9
user_0001,9.942143069508615,4.5,3.3886208823644792,5.0,9.00858894519466,5.0,0.9914110548053392,-2.8307639518730943,5.0
user_0002,5.0,5.0,4.5,3.5,5.0,5.5,5.0,6.0,4.0
user_0003,5.5,4.5,5.0,4.5,6.5,6.5,5.5,6.5,6.0
user_0004,6.0,5.5,5.0,4.5,5.5,4.5,4.5,3.0,4.0
user_0005,5.5,4.5,5.5,4.5,5.0,4.0,5.0,4.5,4.5
user_0006,4.0,3.5,3.5,4.0,4.0,4.0,4.0,4.5,4.0
user_0007,5.0,5.0,5.0,3.0,3.0,4.5,4.5,5.0,2.0
user_0008,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
user_0009,6.5,6.0,6.0,7.0,6.0,6.5,6.5,6.0,6.0
user_0010,6.5,6.5,6.5,6.5,6.0,5.5,4.0,6.5,6.0
user_0011,4.5,5.0,4.5,5.0,5.0,5.0,4.0,2.5,5.5
user_0013,4.0,3.5,4.5,4.5,4.5,5.0,3.5,3.0,4.5
user_0015,6.5,5.0,5.0,4.5,6.5,6.5,6.5,4.5,5.5
user_0016,4.5,4.0,4.0,4.0,5.5,4.5,4.0,4.0,4.5
user_0017,5.5,5.0,5.5,5.5,5.5,5.0,4.0,5.5,5.5
user_0018,6.5,6.0,6.5,5.0,7.0,6.5,6.5,4.0,5.5
user_0019,5.5,5.0,4.5,5.5,6.5,6.0,5.0,3.0,4.5
user_0020,4.5,4.5,5.5,6.0,6.0,5.5,6.0,3.0,6.0
user_0021,4.0,4.0,5.0,6.0,6.5,6.0,5.5,5.0,4.5
user_0022,5.5,3.5,5.5,5.5,7.0,5.0,6.5,3.0,4.5
user_0023,6.0,6.0,6.5,5.0,6.5,6.0,6.5,5.0,6.0
user_0024,6.0,5.0,7.0,6.0,7.0,6.0,5.5,6.5,5.5
user_0026,4.5,4.5,5.0,5.0,4.0,4.5,4.5,4.5,4.5
user_0027,4.0,3.5,4.0,4.0,4.5,4.5,4.0,4.0,4.5
user_0028,5.0,4.0,5.0,4.5,5.5,5.5,5.5,4.0,3.5
user_0029,5.5,6.5,6.0,3.0,2.5,3.5,4.0,2.5,5.0
user_0031,4.0,4.0,4.0,5.5,5.0,4.0,5.0,5.0,4.0
user_0032,3.5,4.0,4.0,5.5,3.0,5.0,6.0,5.0,4.0
user_0033,4.0,5.0,5.0,3.5,7.0,6.0,6.0,2.5,5.5
user_0034,4.5,4.0,5.0,4.5,4.5,4.5,5.0,5.0,2.5
user_0037,6.0,6.0,7.0,6.0,6.5,7.0,7.0,3.0,6.0
user_0039,5.5,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0
user_0042,4.5,5.0,4.5,5.0,5.0,4.5,4.5,4.0,5.0
